AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.103,10.0,0.412,-0.004710960388183594,0.412,16768983.0,4.12,-0.5327156066894531,4.12,15846228.0,
0.1035,10.0,0.414,0.004418563842773437,0.414,7722.0,4.14,-0.5309732437133788,4.14,15849273.0,
0.104,10.0,0.416,0.007733345031738281,0.416,13515.0,4.16,-0.5291994094848632,4.16,15852373.0,
0.1045,10.0,0.418,0.0029926300048828125,0.418,5230.0,4.18,-0.5269048690795898,4.18,15856383.0,
0.105,10.0,0.42,-0.0014888763427734375,0.42,16774614.0,4.2,-0.5245170593261719,4.2,15860556.0,
0.1055,10.0,0.422,-0.002198982238769531,0.422,16773373.0,4.22,-0.5216314315795898,4.22,15865599.0,
0.106,10.0,0.424,-0.009162712097167968,0.424,16761203.0,4.24,-0.5186239242553711,4.24,15870855.0,
0.1065,10.0,0.426,-0.01518115997314453,0.426,16750685.0,4.26,-0.5153039932250977,4.26,15876657.0,
0.107,10.0,0.428,-0.011666107177734374,0.428,16756828.0,4.28,-0.5122175216674805,4.28,15882051.0,
0.1075,10.0,0.43,0.00020084381103515624,0.43,351.0,4.3,-0.5086143493652343,4.3,15888348.0,
0.108,10.0,0.432,0.006287384033203125,0.432,10988.0,4.32,-0.5048458099365234,4.32,15894934.0,
0.1085,10.0,0.434,0.00336456298828125,0.434,5880.0,4.34,-0.5009834289550781,4.34,15901684.0,
0.109,10.0,0.436,-0.0010660171508789062,0.436,16775353.0,4.36,-0.4969888687133789,4.36,15908665.0,
0.1095,10.0,0.438,-0.0021205902099609374,0.438,16773510.0,4.38,-0.4930904388427734,4.38,15915478.0,
0.11,10.0,0.44,-0.008796501159667968,0.44,16761843.0,4.4,-0.48903293609619136,4.4,15922569.0,
